CodeTellus,Sessions,Visiteurs
28810483,36,34
30523826,36,35
24679510,35,32
24703185,35,33
24721295,35,32
25114119,35,34
26120669,35,35
27518106,35,27
27808443,35,32
28926511,35,35
30079835,35,34
30438320,35,34
23533196,34,34
24506526,34,12
24659017,34,33
24721318,34,33
25377989,34,28
25552546,34,34
26120652,34,34
26869032,34,33
28889816,34,30
30021704,34,19
21421990,33,32
26350028,33,33
27513392,33,31
27520161,33,31
30265030,33,33
30360584,33,26
30363308,33,29
20792701,32,32
24690393,32,32
24695114,32,28
25759211,32,30
27794517,32,32
27796719,32,31
28915539,32,30
30337145,32,28
30337455,32,28
30355259,32,10
24597425,31,28
24691550,31,30
24781862,31,29
27520222,31,30
28888628,31,26
29320639,31,25
30028230,31,31
30170187,31,29
30236783,31,9
30284797,31,29
30284905,31,30
30300780,31,25
30438321,31,31
24699556,30,30
24807135,30,28
25686302,30,29
26680576,30,29
26868899,30,28
27512609,30,29
27592298,30,27
27592809,30,28
27811702,30,30
30010346,30,27
30039678,30,26
30051962,30,29
30410370,30,29
30437248,30,30
21242960,29,27
24058827,29,28
24660075,29,29
24698009,29,27
24922272,29,29
25113495,29,28
25550740,29,25
26933634,29,25
28145523,29,25
28913597,29,24
30065701,29,26
30166374,29,28
30213330,29,28
30354996,29,24
30363795,29,27
24678711,28,28
24901154,28,26
25722451,28,27
25959321,28,27
26265773,28,25
27511107,28,25
27513453,28,26
27625217,28,26
28826262,28,25
30028220,28,27
30109081,28,25
30160990,28,26
30161007,28,27
30178171,28,26
30263907,28,27
30457437,28,21
30459182,28,19
24603386,27,26
24693387,27,26
24733694,27,27
24734752,27,25
24734820,27,23
24745253,27,27
25282689,27,25
25686487,27,26
25958621,27,27
26444048,27,27
27786338,27,26
30105649,27,25
30223853,27,25
30355220,27,26
30823509,27,25
24059169,26,25
24291019,26,23
24637640,26,26
24654654,26,25
24706834,26,24
24750257,26,24
24929868,26,24
25593754,26,26
25704020,26,22
25754322,26,24
25760743,26,25
25915839,26,26
25958768,26,21
27626887,26,26
27669655,26,24
28873341,26,25
30070369,26,24
30082179,26,25
30168818,26,23
30170143,26,26
30170324,26,22
30286441,26,23
30288386,26,25
30360585,26,19
21550508,25,22
23350953,25,25
24093668,25,25
24297356,25,24
24686259,25,24
24693165,25,23
24696029,25,25
24699549,25,25
24778787,25,25
25282665,25,24
25438314,25,23
25858556,25,23
27512524,25,21
27545355,25,21
27626795,25,25
27795019,25,19
30005096,25,23
30005382,25,24
30043128,25,25
30044226,25,23
30105803,25,25
30177943,25,25
30179701,25,24
30233274,25,25
30284056,25,22
30312884,25,24
30314569,25,25
30451487,25,25
30457651,25,25
23782884,24,20
24297332,24,23
24673877,24,23
24683548,24,24
24768030,24,24
24780933,24,23
24781411,24,24
24930857,24,24
25402421,24,22
25426427,24,24
25577020,24,24
26298153,24,22
26340470,24,24
26442488,24,22
26443478,24,17
26863450,24,23
26933375,24,20
27667026,24,21
27882078,24,24
28017905,24,23
30014673,24,23
30044777,24,19
30146903,24,23
30168819,24,23
30285068,24,2
30286298,24,22
30286306,24,23
30301529,24,23
30306372,24,23
30360643,24,24
30461178,24,23
30522780,24,20
24597319,23,22
24644839,23,22
24647922,23,21
24692533,23,22
24702553,23,21
24781220,23,23
25114256,23,22
25120851,23,21
25681147,23,23
25853254,23,21
25958881,23,22
26121109,23,23
26865751,23,18
27787991,23,23
27809716,23,23
28873259,23,23
29376216,23,18
30009945,23,23
30026436,23,22
30140124,23,21
30170191,23,17
30170259,23,14
30170954,23,22
30263912,23,23
30312397,23,22
30364268,23,23
30456244,23,19
30522441,23,22
30823508,23,14
20662264,22,22
23350939,22,21
23921870,22,22
24115063,22,18
24548113,22,20
24647496,22,21
24659291,22,22
24698993,22,21
24701242,22,21
24807241,22,20
25024494,22,22
25426410,22,6
25549737,22,21
25858518,22,21
25959017,22,22
26566801,22,21
26933931,22,19
27513415,22,20
28884248,22,21
30009265,22,22
30071115,22,20
30086890,22,22
30168781,22,20
30246035,22,22
30266668,22,22
30284375,22,18
30312153,22,22
30362021,22,22
30364343,22,22
30458580,22,22
30459035,22,18
23356580,21,16
24101929,21,20
24677882,21,21
24678070,21,20
24698719,21,18
24720021,21,21
24751834,21,20
24781671,21,17
24932738,21,19
25140538,21,12
25436167,21,21
26253435,21,21
26430317,21,19
26586328,21,19
26806426,21,20
28884231,21,20
30002874,21,20
30039210,21,19
30056398,21,20
30178164,21,20
30212697,21,19
30361978,21,20
30397619,21,19
20488956,20,18
23356672,20,19
23390423,20,19
24297370,20,19
24656948,20,20
24666060,20,18
24677844,20,20
24695374,20,20
25120998,20,18
25405019,20,19
25444506,20,19
25659832,20,20
26266657,20,17
26349992,20,17
26667492,20,17
26684253,20,19
27163283,20,20
27169544,20,20
27601365,20,19
27601532,20,20
27795408,20,17
27796658,20,20
27811658,20,20
27882108,20,20
27942048,20,18
28288084,20,19
28812708,20,19
28955689,20,20
29355501,20,20
30040146,20,20
30043377,20,20
30043930,20,19
30056401,20,17
30087899,20,20
30109077,20,20
30165055,20,19
30213880,20,19
30263908,20,16
30286308,20,20
30312538,20,17
30354513,20,20
30354896,20,19
30420160,20,20
30458966,20,18
30522034,20,17
30522439,20,15
21086878,19,19
23893900,19,19
24016933,19,19
24094320,19,18
24291071,19,19
24548120,19,19
24601948,19,19
24723299,19,19
24781732,19,19
24901116,19,16
25122190,19,19
25334623,19,17
25577082,19,18
25681789,19,19
25759174,19,18
25774245,19,13
25915846,19,16
25959024,19,19
26121017,19,19
26324944,19,18
26373270,19,19
27592786,19,18
27612842,19,19
28810469,19,19
28867883,19,17
29096855,19,14
29375738,19,19
30028177,19,19
30039460,19,19
30039790,19,19
30042156,19,18
30044494,19,18
30052347,19,19
30065225,19,19
30082169,19,17
30161595,19,17
30168121,19,19
30182097,19,18
30222926,19,18
30230048,19,18
30291771,19,17
30355298,19,18
30360592,19,18
30363553,19,18
30875276,19,19
24093842,18,17
24548489,18,18
24579551,18,18
24603379,18,18
24606264,18,18
24651684,18,18
24660396,18,18
24679282,18,17
24705486,18,16
24706643,18,17
24773294,18,18
24781503,18,18
24781602,18,18
24781800,18,18
24782647,18,18
24791052,18,12
25114263,18,15
25122008,18,17
25189346,18,17
25334883,18,16
25749359,18,15
25752120,18,16
25755190,18,18
25760712,18,18
25760873,18,17
25915679,18,18
26298009,18,17
26426266,18,17
26444017,18,17
26863436,18,16
26864884,18,17
27238998,18,18
27600030,18,15
27796832,18,15
27856949,18,16
28275336,18,18
28889335,18,18
29238798,18,18
30005045,18,16
30009949,18,17
30017505,18,17
30028227,18,12
30038165,18,18
30052173,18,17
30056522,18,16
30065741,18,18
30065756,18,18
30213331,18,17
30287589,18,18
30291096,18,14
30312161,18,17
30353742,18,18
30362929,18,16
30362952,18,15
30459034,18,15
30459143,18,15
30809419,18,18
30882164,18,18
21047121,17,16
21543838,17,16
21740183,17,17
24114950,17,16
24175739,17,17
24548137,17,16
24567503,17,15
24648011,17,16
24648554,17,16
24658713,17,15
24679206,17,16
24679305,17,17
24683883,17,17
24704090,17,13
24723305,17,17
24749701,17,17
24750158,17,17
24781817,17,16
24900294,17,17
24901246,17,17
24929837,17,16
24942584,17,15
25050745,17,14
25362572,17,15
25510034,17,17
25665581,17,16
25714371,17,16
25754131,17,17
25758542,17,17
25959116,17,17
25959123,17,17
26373379,17,17
26410838,17,16
26591780,17,17
26843216,17,17
26892832,17,17
27272060,17,17
27272091,17,15
27512616,17,14
27517000,17,15
27545645,17,14
27601389,17,12
27856055,17,16
27859582,17,17
28256878,17,17
29254071,17,16
29320578,17,17
30038959,17,14
30040344,17,17
30043091,17,17
30043116,17,14
30055578,17,5
30103766,17,16
30113564,17,16
30143978,17,14
30168816,17,17
30213000,17,17
30214018,17,16
30214839,17,14
30247477,17,16
30286304,17,8
30292402,17,17
30311498,17,17
30312883,17,10
30334198,17,17
30335204,17,17
30362517,17,17
30522504,17,16
30539214,17,16
30567526,17,17
30882173,17,15
21475238,16,14
23373228,16,16
23933644,16,15
23933712,16,16
23934160,16,15
24186346,16,14
24512169,16,16
24548168,16,13
24647434,16,14
24648547,16,14
24654739,16,16
24658140,16,16
24660570,16,15
24678094,16,16
24679541,16,15
24679565,16,15
24696203,16,15
24698740,16,13
24711104,16,16
24721325,16,14
24722025,16,16
24732352,16,14
24753210,16,16
24768764,16,15
24943246,16,15
25050035,16,15
25064407,16,16
25290271,16,16
25819830,16,14
25858402,16,16
25936162,16,16
25994483,16,13
26075037,16,15
26830759,16,16
27442883,16,16
27511114,16,13
27796757,16,16
28684763,16,15
28806479,16,14
28891581,16,14
29323012,16,15
29376223,16,10
29376230,16,15
30005042,16,15
30005100,16,15
30021039,16,16
30022349,16,15
30028387,16,16
30066364,16,15
30079960,16,16
30082424,16,15
30168863,16,16
30171138,16,15
30175692,16,15
30178236,16,16
30267870,16,15
30283515,16,16
30283628,16,11
30312157,16,16
30337144,16,16
30337940,16,3
30355385,16,16
30362023,16,16
30362532,16,12
30363776,16,14
30368194,16,15
30420848,16,13
30456922,16,16
30457623,16,15
30459336,16,16
30460023,16,16
30522440,16,14
30522794,16,16
30567209,16,16
20979997,15,13
21242496,15,15
24059329,15,13
24093743,15,15
24205955,15,15
24226974,15,12
24493383,15,15
24512695,15,14
24594547,15,15
24602037,15,15
24636575,15,13
24637503,15,12
24678483,15,14
24691895,15,14
24691918,15,15
24696036,15,13
24697453,15,15
24697521,15,13
24701372,15,13
24706179,15,15
24711968,15,15
24820004,15,14
24900348,15,13
24931106,15,14
25090390,15,13
25118889,15,14
25282658,15,13
25576931,15,15
25758559,15,15
25776607,15,9
25972085,15,14
26252322,15,13
26350196,15,15
26869063,15,14
27226711,15,13
27545386,15,14
27626818,15,15
27626900,15,13
27776995,15,13
27801741,15,15
27808412,15,14
28826576,15,14
28836193,15,12
28887089,15,15
28887393,15,15
28891543,15,15
28926368,15,15
29025640,15,15
29096893,15,15
29350797,15,14
30002877,15,13
30005041,15,15
30017509,15,15
30039835,15,12
30168487,15,14
30170083,15,14
30170162,15,14
30171124,15,14
30171127,15,15
30175708,15,14
30175722,15,15
30212694,15,14
30231870,15,15
30284337,15,7
30285899,15,15
30288381,15,14
30291171,15,14
30291807,15,14
30300924,15,13
30313757,15,14
30323476,15,14
30352075,15,12
30354542,15,14
30355196,15,15
30362927,15,12
30364337,15,15
30458476,15,13
30460259,15,11
30460435,15,15
30522208,15,14
30542409,15,12
30809573,15,13
20489373,14,11
21772337,14,13
23319165,14,13
23893894,14,13
24093798,14,13
24254380,14,11
24590396,14,13
24643375,14,13
24658393,14,14
24659048,14,14
24679497,14,13
24699563,14,12
24704137,14,14
24707091,14,14
24779388,14,14
24915298,14,12
24943260,14,12
25065459,14,14
25065879,14,13
25066142,14,11
25121032,14,14
25282634,14,14
25577044,14,13
25593846,14,14
25634549,14,14
25686319,14,13
25686586,14,12
25758955,14,13
25821130,14,12
25915693,14,13
25958805,14,14
25959147,14,12
25971446,14,12
26253381,14,14
26338774,14,14
26350721,14,14
26449814,14,14
26598697,14,14
26863498,14,13
26864815,14,13
26868882,14,14
26959290,14,14
27601372,14,12
27601518,14,14
27626894,14,14
27790687,14,14
27810590,14,12
27810781,14,14
27812099,14,13
27814901,14,12
27856239,14,14
27914342,14,14
28275237,14,14
28955306,14,14
29184002,14,14
29376247,14,14
30005094,14,14
30005097,14,14
30017506,14,13
30022527,14,14
30039680,14,14
30043908,14,12
30051148,14,12
30065727,14,14
30071113,14,11
30079061,14,14
30082401,14,10
30161659,14,14
30169792,14,13
30170189,14,13
30170192,14,13
30170319,14,14
30176800,14,14
30178071,14,14
30178079,14,13
30212374,14,7
30213595,14,14
30233345,14,14
30236796,14,10
30246899,14,13
30263882,14,12
30268074,14,14
30284057,14,13
30286352,14,11
30290752,14,12
30301486,14,14
30312401,14,14
30353735,14,13
30357199,14,12
30360583,14,12
30362930,14,11
30363554,14,12
30363914,14,11
30366282,14,13
30397287,14,11
30456921,14,12
30457380,14,12
30522077,14,14
30522779,14,12
30821728,14,13
20489366,13,13
20980955,13,13
21192562,13,13
21272882,13,6
21391897,13,11
21550492,13,11
23412774,13,12
23657885,13,12
23912366,13,13
23964396,13,13
24126977,13,13
24175661,13,13
24593076,13,13
24643948,13,13
24647939,13,11
24659222,13,12
24677561,13,13
24682084,13,12
24690324,13,12
24691901,13,13
24698931,13,12
24699501,13,13
24707534,13,10
24749596,13,13
24776028,13,13
24776035,13,13
24779135,13,13
24780940,13,13
24780995,13,13
24781398,13,12
24781701,13,13
24934039,13,12
25065367,13,11
25065770,13,11
25114386,13,11
25118469,13,11
25119060,13,12
25178173,13,10
25399806,13,6
25577075,13,13
25660876,13,12
25662948,13,13
25675870,13,13
25686142,13,12
25750157,13,13
25755497,13,13
25757408,13,13
25760705,13,12
25811315,13,12
25909142,13,13
25913941,13,13
25915709,13,13
25958935,13,13
26000756,13,12
26129747,13,12
26340463,13,13
26356570,13,13
26450391,13,10
26507088,13,11
26682365,13,12
26862965,13,13
26868912,13,13
26868929,13,13
26869094,13,9
26871158,13,13
26872148,13,11
26944777,13,13
27062524,13,13
27442821,13,13
27511039,13,13
27601358,13,13
27612828,13,10
27626825,13,12
27647790,13,13
27817148,13,13
27944332,13,12
28812784,13,12
28885887,13,11
28891512,13,13
28929963,13,13
29013449,13,13
29322787,13,12
30005044,13,13
30005083,13,11
30021683,13,13
30021702,13,4
30028164,13,13
30028327,13,13
30028843,13,11
30039709,13,13
30082170,13,13
30161668,13,13
30165252,13,13
30166030,13,12
30168830,13,12
30170164,13,11
30170231,13,13
30170957,13,11
30171142,13,12
30177794,13,13
30178069,13,13
30178242,13,13
30182098,13,13
30183175,13,13
30208315,13,11
30213950,13,13
30216162,13,12
30263079,13,11
30284039,13,12
30288226,13,13
30291169,13,13
30291577,13,11
30292081,13,11
30314568,13,13
30323064,13,12
30354176,13,10
30354937,13,11
30355376,13,13
30362612,13,13
30362926,13,13
30362928,13,13
30363358,13,12
30364341,13,13
30410307,13,8
30458473,13,13
30460013,13,13
30541208,13,13
30542410,13,11
20449179,12,12
20449728,12,12
20489083,12,12
20494308,12,11
20845049,12,12
21188190,12,11
21190780,12,11
21242892,12,11
23373303,12,11
23375253,12,11
24080668,12,11
24175722,12,12
24297325,12,12
24493413,12,12
24593359,12,8
24597449,12,12
24597517,12,12
24603157,12,9
24604598,12,12
24617215,12,11
24651622,12,12
24660556,12,11
24661157,12,12
24665902,12,11
24679633,12,12
24690232,12,11
24695466,12,12
24695794,12,12
24705509,12,10
24732321,12,12
24781176,12,12
24901178,12,4
24901215,12,12
24901345,12,11
24901529,12,12
24929745,12,11
25033915,12,11
25066302,12,12
25089448,12,9
25362558,12,5
25686517,12,12
25761535,12,12
25773170,12,11
25812718,12,12
25858426,12,11
25936117,12,10
26122250,12,11
26129778,12,7
26266664,12,12
26266671,12,12
26442495,12,12
26834726,12,11
27008881,12,12
27273265,12,11
27520239,12,12
27672969,12,12
27730515,12,8
27808399,12,12
27808627,12,12
27842164,12,11
27842782,12,12
27856376,12,12
27882122,12,10
27928912,12,11
27943144,12,12
27944387,12,11
27964309,12,12
28885863,12,11
28885870,12,11
28889168,12,12
29238781,12,12
29315741,12,11
29319435,12,12
29323326,12,9
30020567,12,12
30023657,12,6
30028179,12,11
30038245,12,11
30038247,12,12
30039462,12,12
30043130,12,11
30043477,12,12
30043837,12,12
30056539,12,10
30065703,12,9
30072919,12,12
30082426,12,12
30103750,12,10
30107199,12,10
30162907,12,12
30169630,12,12
30171129,12,10
30177691,12,12
30177845,12,11
30177970,12,12
30182055,12,9
30182335,12,12
30236785,12,12
30266669,12,11
30284055,12,12
30284649,12,11
30286300,12,12
30286307,12,12
30286353,12,11
30306573,12,9
30312591,12,12
30312886,12,11
30353890,12,9
30354174,12,11
30354901,12,11
30354927,12,11
30363517,12,12
30363737,12,11
30368197,12,12
30410287,12,9
30420018,12,11
30457204,12,10
30459064,12,10
30522036,12,10
30522789,12,12
30524021,12,10
30541430,12,11
30809028,12,11
30829599,12,6
95088374,12,5
20021405,11,11
20792725,11,11
21188596,11,11
21436130,11,11
21566677,11,10
21713941,11,11
23661820,11,11
24114431,11,11
24198394,11,11
24594080,11,10
24643009,11,9
24643474,11,4
24645591,11,10
24646307,11,10
24647892,11,8
24660938,11,10
24677639,11,11
24677905,11,11
24678469,11,11
24679619,11,11
24689922,11,11
24693110,11,11
24696166,11,10
24698061,11,11
24698863,11,10
24700979,11,10
24706056,11,10
24731201,11,11
24750110,11,11
24777537,11,11
24778848,11,11
24780124,11,10
24807104,11,10
24819954,11,11
24820066,11,11
24905237,11,11
24931090,11,8
25025163,11,11
25032611,11,11
25065909,11,11
25065992,11,11
25067163,11,10
25114133,11,10
25118575,11,11
25171778,11,11
25171914,11,9
25280838,11,11
25282672,11,10
25490695,11,10
25552461,11,11
25553512,11,11
25663525,11,11
25675788,11,10
25680409,11,11
25754100,11,11
25754124,11,10
25760880,11,11
25773309,11,10
25915815,11,11
25959130,11,11
25965483,11,11
26022543,11,11
26078007,11,10
26149455,11,7
26154480,11,10
26250847,11,11
26328065,11,11
26343655,11,11
26349961,11,11
26351520,11,10
26430881,11,11
26528526,11,10
26549231,11,11
26868967,11,9
27196977,11,11
27259368,11,11
27272077,11,4
27511909,11,10
27808856,11,10
27809709,11,10
27842256,11,11
27915967,11,11
27940211,11,11
28621508,11,11
28873310,11,11
28889212,11,11
29352036,11,11
29353569,11,9
29375172,11,10
30004865,11,11
30005075,11,10
30005381,11,11
30005726,11,11
30010345,11,10
30021684,11,5
30028215,11,11
30038249,11,11
30042492,11,11
30042910,11,9
30047899,11,11
30052127,11,4
30055827,11,11
30056400,11,9
30065045,11,11
30070842,11,11
30079246,11,11
30081418,11,11
30083009,11,11
30103752,11,10
30115992,11,11
30117267,11,11
30122049,11,11
30146900,11,6
30165883,11,11
30166014,11,11
30169718,11,11
30176802,11,10
30177974,11,11
30178174,11,10
30246070,11,9
30246962,11,11
30263881,11,11
30266670,11,11
30267190,11,10
30267527,11,10
30267686,11,11
30267800,11,11
30283848,11,11
30284388,11,11
30284911,11,11
30286309,11,11
30287581,11,8
30291071,11,9
30291087,11,10
30300764,11,9
30300822,11,9
30312881,11,9
30312890,11,10
30312909,11,11
30350538,11,9
30354175,11,11
30354179,11,10
30355017,11,10
30362934,11,11
30363772,11,11
30397011,11,11
30397365,11,8
30398717,11,8
30409158,11,10
30419017,11,10
30438296,11,11
30460438,11,8
30522026,11,11
30522044,11,11
30523089,11,3
30544270,11,10
30544728,11,11
30544735,11,11
30889728,11,11
20026486,10,9
20827144,10,7
21200021,10,10
21564178,10,10
23082991,10,9
23614345,10,10
23657663,10,9
23893917,10,10
23991521,10,10
23993112,10,9
24016834,10,10
24093392,10,10
24094610,10,10
24103589,10,10
24114752,10,10
24114967,10,10
24265348,10,10
24528047,10,9
24535892,10,8
24548090,10,10
24592277,10,8
24593540,10,8
24642972,10,9
24645171,10,9
24647953,10,8
24656771,10,9
24659215,10,10
24660372,10,10
24661256,10,10
24664271,10,9
24677578,10,10
24677660,10,10
24677752,10,10
24681674,10,9
24684262,10,9
24691987,10,10
24699679,10,10
24703109,10,3
24708951,10,10
24721301,10,9
24768016,10,10
24771344,10,10
24819978,10,9
24820042,10,10
24901208,10,8
24901239,10,10
24901390,10,10
24901420,10,8
24901505,10,10
24931045,10,10
24932769,10,10
24933513,10,10
24934022,10,10
24946179,10,8
25028171,10,9
25033304,10,9
25034752,10,9
25035544,10,10
25057096,10,10
25062281,10,10
25066319,10,10
25139235,10,9
25175271,10,10
25286199,10,10
25362442,10,10
25400472,10,10
25409864,10,10
25509878,10,10
25510287,10,10
25573107,10,10
25575613,10,10
25581485,10,10
25754575,10,10
25773989,10,9
25853261,10,9
25915747,10,9
25958713,10,10
25958782,10,10
26075143,10,10
26147550,10,9
26252339,10,7
26253411,10,10
26255781,10,10
26350356,10,8
26350660,10,10
26350738,10,9
26351575,10,10
26409344,10,10
26411231,10,10
26442730,10,10
26591797,10,10
26666495,10,10
26775159,10,10
26775197,10,10
26827858,10,8
26855844,10,9
26870878,10,8
26870885,10,7
26871233,10,10
26900698,10,10
27062500,10,10
27169551,10,10
27196960,10,10
27213216,10,10
27513866,10,9
27518090,10,10
27545867,10,10
27653760,10,9
27808801,10,9
27808818,10,10
27810767,10,9
27810774,10,8
27811689,10,9
27814888,10,10
27856956,10,10
27859636,10,8
27882054,10,10
27883532,10,10
27926284,10,9
27944608,10,9
27951149,10,10
28812609,10,10
28836117,10,9
28887102,10,9
28891420,10,8
28926573,10,8
29185412,10,10
29302376,10,10
29317844,10,7
29322770,10,7
30000590,10,8
30005037,10,10
30005101,10,10
30005380,10,10
30009946,10,10
30009947,10,10
30018353,10,10
30021685,10,10
30038908,10,4
30038952,10,10
30040348,10,10
30043982,10,10
30044224,10,8
30052412,10,8
30056278,10,10
30056402,10,9
30065704,10,9
30065726,10,9
30072882,10,10
30072909,10,10
30073037,10,10
30079839,10,10
30087250,10,9
30100818,10,5
30105789,10,10
30140271,10,10
30146264,10,10
30157347,10,9
30159418,10,10
30168825,10,9
30170196,10,8
30170497,10,9
30170943,10,10
30175709,10,10
30182194,10,9
30212631,10,10
30213162,10,8
30213486,10,9
30214838,10,10
30236065,10,9
30246995,10,5
30263152,10,10
30263165,10,7
30267537,10,10
30267892,10,9
30284053,10,8
30284722,10,8
30286294,10,10
30290673,10,10
30291083,10,10
30291211,10,7
30292080,10,7
30292082,10,8
30292117,10,10
30300022,10,10
30312601,10,9
30335217,10,10
30337936,10,10
30354172,10,9
30354184,10,9
30354954,10,10
30355199,10,10
30355218,10,10
30355384,10,9
30363520,10,10
30366243,10,6
30397376,10,9
30397617,10,9
30420162,10,10
30427477,10,10
30439012,10,10
30448489,10,8
30453735,10,9
30456242,10,10
30457436,10,8
30457664,10,10
30460437,10,10
30461169,10,10
30524022,10,9
30524201,10,8
30540635,10,7
30541824,10,10
30542243,10,6
30544734,10,10
30881926,10,7
30882368,10,10
30883590,10,10
30884025,10,10
30918199,10,8
95088193,10,9
20488963,9,9
20794583,9,9
20980931,9,9
21078668,9,7
21242946,9,9
21484520,9,9
21744914,9,9
23500006,9,9
23657670,9,8
23964402,9,9
24081450,9,9
24088404,9,8
24092647,9,9
24114448,9,9
24245265,9,8
24251723,9,9
24273671,9,8
24343091,9,9
24471701,9,9
24497718,9,8
24504294,9,9
24548144,9,9
24590549,9,9
24604383,9,5
24606295,9,9
24613422,9,8
24613484,9,9
24614191,9,9
24636155,9,8
24648035,9,9
24651660,9,9
24657129,9,9
24659208,9,9
24663830,9,8
24665865,9,7
24677868,9,8
24678087,9,8
24678476,9,7
24679244,9,9
24692526,9,7
24692915,9,9
24695381,9,9
24699310,9,8
24700016,9,8
24701020,9,9
24702119,9,9
24705462,9,9
24707084,9,9
24711852,9,8
24714709,9,9
24718820,9,9
24733199,9,8
24746595,9,9
24749572,9,9
24771818,9,9
24773416,9,9
24795715,9,9
24807234,9,9
24807319,9,9
24915281,9,7
25029222,9,9
25029321,9,9
25034769,9,9
25036435,9,6
25050851,9,9
25065893,9,9
25113860,9,9
25121278,9,9
25286892,9,9
25287127,9,5
25309928,9,9
25397956,9,9
25404982,9,9
25510140,9,8
25593815,9,9
25593839,9,9
25659887,9,9
25662016,9,9
25681352,9,8
25685268,9,8
25685282,9,9
25686296,9,9
25761634,9,9
25778700,9,7
25858211,9,9
25915822,9,9
25915877,9,9
25915921,9,9
25935981,9,8
25958843,9,9
25970418,9,9
26074900,9,8
26123752,9,8
26130026,9,9
26253428,9,9
26255828,9,9
26257754,9,9
26266688,9,9
26407081,9,7
26430294,9,9
26442549,9,9
26444031,9,7
26475998,9,9
26514437,9,9
26550220,9,6
26600086,9,9
26863023,9,7
26863184,9,9
27141298,9,9
27222997,9,9
27442340,9,9
27512647,9,9
27513439,9,9
27513941,9,9
27520031,9,6
27520383,9,8
27545379,9,9
27658161,9,9
27667033,9,9
27669556,9,9
27784570,9,9
27808405,9,8
27854341,9,9
27856277,9,8
27858875,9,9
27867877,9,8
27943342,9,8
27944615,9,9
27944868,9,9
28138495,9,9
28745457,9,9
28876779,9,8
28889076,9,9
28889250,9,8
28889854,9,9
28894070,9,8
28915515,9,7
28926320,9,9
28926405,9,7
29023875,9,9
29064649,9,6
29096862,9,9
29096886,9,8
29109791,9,9
29256037,9,9
29275250,9,8
29315123,9,9
29355235,9,7
29362462,9,7
29375554,9,9
30005102,9,9
30005103,9,8
30009952,9,9
30020581,9,9
30021084,9,9
30028218,9,8
30028319,9,9
30028863,9,9
30038239,9,8
30038957,9,9
30039459,9,6
30039836,9,9
30043067,9,7
30044228,9,8
30051956,9,9
30055581,9,8
30056177,9,8
30065122,9,9
30065953,9,9
30066362,9,9
30066416,9,7
30070845,9,8
30080853,9,9
30082174,9,7
30082217,9,9
30082423,9,9
30082489,9,9
30086889,9,9
30103753,9,7
30140234,9,9
30161657,9,8
30161872,9,9
30165044,9,8
30166049,9,9
30169931,9,8
30170092,9,7
30170318,9,9
30170323,9,9
30170325,9,9
30170365,9,7
30170697,9,9
30171130,9,8
30175713,9,9
30177693,9,8
30177770,9,2
30177772,9,9
30177923,9,9
30177942,9,9
30179061,9,9
30179661,9,9
30182099,9,8
30213084,9,8
30233413,9,8
30235514,9,9
30246074,9,9
30246227,9,8
30263167,9,9
