Nom Magasin,Visiteurs,Sessions,Taux de rebond,Commandes
François Matériaux - Figeac - E-commerce,3221,4974,0.19400884599919582,5
Labenne Rougier - Lacanau - E-commerce,3220,5352,0.21150971599402094,15
Farel Clavel - Uzes - E-commerce,3216,5735,0.1907585004359198,13
Derrey - Pulnoy - E-commerce,3207,4854,0.24474660074165636,21
Cazorro Matériaux - Carbonne - E-commerce,3201,4926,0.1776289078359724,14
Labenne Rougier - La Teste-de-Buch - E-commerce,3117,4191,0.2944404676688141,4
Dumeil - Brassac-les-Mines - E-commerce,2971,5888,0.1793478260869565,8
Labenne Rougier - Saint-Julien-en-Born - E-commerce,2958,5120,0.2341796875,17
Matériaux Picards - Nesle - E-commerce,2944,5030,0.1709741550695825,8
François Matériaux - Marssac-sur-Tarn - E-commerce,2788,3740,0.3245989304812834,4
Labenne Rougier - Arbanats - E-commerce,2703,4275,0.2392982456140351,7
Charbonnier - Chauffailles - E-commerce,2688,4927,0.15100466815506394,13
Labenne Rougier - Pauillac - E-commerce,2673,4509,0.2350853847859836,6
Derrey - Longeville-en-Barrois - E-commerce,2669,5077,0.17037620642111484,16
Aux docks de Clamart - Clamart - E-commerce,2653,3902,0.12506406970784215,24
Labenne Rougier - Fauillet - E-commerce,2645,4630,0.24038876889848812,9
Bruant - Rue - E-commerce,2642,4225,0.24378698224852072,3
François Matériaux - Couffouleux - E-commerce,2571,4153,0.2145437033469781,7
François Matériaux - Gaillac - E-commerce,2538,3661,0.23408904670854958,5
Farel Clavel - Remoulins - E-commerce,2523,4163,0.18736488109536392,4
Avesnes - Avesnelles - E-commerce,2496,4369,0.16525520714122224,5
Boulard Verdier - Gerzat - E-commerce,2480,3532,0.18176670441676104,2
Labenne Rougier - Coutras - E-commerce,2480,3863,0.21460005177323324,16
Labenne Rougier - Léon - E-commerce,2464,4389,0.2128047391205286,8
Derrey - Étival-Clairefontaine - E-commerce,2305,4546,0.17883853937527497,14
Millancourt et Nicolas - Morvillers-Saint-Saturnin - E-commerce,2254,4463,0.14721039659421914,5
Labenne Rougier - Aiguillon - E-commerce,2199,3294,0.25561627200971465,11
François Matériaux - Aubin - E-commerce,2194,4223,0.1636277527823822,7
Flamary - Argentat-sur-Dordogne - E-commerce,2134,3794,0.14918292040063258,4
Favre dAnne - Flumet - E-commerce,2037,3161,0.32458082885162926,0
Durruty Matériaux - Bénesse-Maremne - E-commerce,2023,2957,0.2434900236726412,9
Farel Clavel - Rochefort-du-Gard - E-commerce,1983,2696,0.19065281899109793,2
Durruty Matériaux - Larressore - E-commerce,1967,2847,0.22901299613628381,8
Derrey - Lunéville - E-commerce,1910,3469,0.200634188526953,12
Jacq - Callac - E-commerce,1895,2374,0.36562763268744736,4
Labenne Rougier - La Réole - E-commerce,1877,3119,0.19333119589612055,8
Maraj - Sainte-Marie (La Mare) - E-commerce,1843,2639,0.18378173550587343,0
Labenne Rougier - Lacanau (Bâti) - E-commerce,1837,2852,0.21213183730715288,0
Labenne Rougier - Duras - E-commerce,1832,3285,0.2365296803652968,3
Balagne Matériaux - Calvi - E-commerce,1816,2925,0.15726495726495726,11
Labenne Rougier - Miramont-de-Guyenne - E-commerce,1762,3096,0.20478036175710596,8
Balagne Matériaux - LÎle-Rousse - E-commerce,1750,2777,0.14800144040331292,0
Sundgau Matériaux - Bréchaumont - E-commerce,1705,2197,0.4920345926263086,0
Derrey - Bruyères - E-commerce,1695,2995,0.1696160267111853,4
Derrey - Rambervillers - E-commerce,1681,3033,0.15364325750082428,7
François Matériaux - Saint-Flour - E-commerce,1667,2829,0.16012725344644752,5
Charbonnier - Baudemont - E-commerce,1651,2877,0.14042405283281195,4
François Matériaux - Saint-Benoît-de-Carmaux - E-commerce,1618,2662,0.17618332081142,3
Vialleix Brico - Bort-les-Orgues - E-commerce,1615,2505,0.1277445109780439,2
Boulard Verdier - Pontgibaud - E-commerce,1602,2913,0.18503261242705116,12
François Matériaux - Saint-Chély-dApcher - E-commerce,1600,2578,0.2117920868890613,0
Derrey - Poussay - E-commerce,1457,2587,0.17046772323154233,2
François Matériaux - Espalion - E-commerce,1416,2430,0.1506172839506173,1
Durruty Matériaux - Messanges - E-commerce,1392,2318,0.15746333045729077,1
Jacq - Pont-lAbbé - E-commerce,1392,2050,0.2151219512195122,0
Henrio - Mellac - E-commerce,1362,2145,0.2125874125874126,0
Socramat - Craon - E-commerce,1242,1777,0.33989870568373665,1
Joly - Sagy - E-commerce,1218,1916,0.18423799582463465,4
Stoker - Dijon - E-commerce,1128,1360,0.45588235294117646,0
Pérignat-sur-Allier - Pontgibaud - E-commerce,1121,2065,0.17336561743341405,4
GCCO - Luzy - E-commerce,1069,1754,0.1459521094640821,4
Socramat - La Guerche-de-Bretagne - E-commerce,1031,1476,0.3509485094850949,0
Conil - Peyruis - E-commerce,1009,1489,0.35862995298858297,1
MCF - Yzeure - E-commerce,1009,1475,0.29627118644067796,1
Derrey - Vézelise - E-commerce,1001,1598,0.21026282853566958,4
Labenne Rougier - Agen - E-commerce,974,1239,0.13640032284100082,2
Henrio - Plouay - E-commerce,965,1359,0.24503311258278146,3
Farel Clavel - Mazan - E-commerce,950,1455,0.20756013745704469,0
François Matériaux - Baraqueville - E-commerce,889,1395,0.2057347670250896,1
Balagne Matériaux - Corte - E-commerce,884,1342,0.1825633383010432,8
Sonovam - Peypin - E-commerce,850,1023,0.47996089931573804,1
Sahores - Orthez - E-commerce,829,1053,0.3855650522317189,0
Mathieu - Audun-le-Roman - E-commerce,828,1090,0.3559633027522936,1
Suhas Matériaux - Peyrehorade - E-commerce,812,1255,0.35856573705179284,0
Derrey - Luneville - E-commerce,754,1281,0.13114754098360656,0
Labenne Rougier - La Teste-de-Buch (Bâti) - E-commerce,725,1034,0.24274661508704062,0
Boromat - Ambert - E-commerce,685,997,0.3229689067201605,1
MCF - Domérat - E-commerce,679,1043,0.26558005752636626,3
Lauzin - Valence dAgen - E-commerce,675,826,0.4406779661016949,0
Maisonnier - Bouresse - E-commerce,590,734,0.3991825613079019,0
Datas - Seissan - E-commerce,536,713,0.4109396914446003,0
Broulard Matériaux - Sourzac - E-commerce,518,627,0.44019138755980863,0
Provibat - Riorges - E-commerce,502,687,0.37700145560407566,0
Jacq - Bannalec - E-commerce,476,801,0.19101123595505617,0
Balagne Matériaux - Morosaglia - E-commerce,471,717,0.13668061366806136,4
Vilvert - Montrond-les-bains - E-commerce,442,568,0.49471830985915494,0
Vilvert - Montbrison - E-commerce,441,578,0.39792387543252594,0
JT Matériaux - Marault - E-commerce,362,530,0.33773584905660375,1
MCF - Bourbon-Lancy - E-commerce,361,569,0.2583479789103691,3
Rolampont - Rolampont - E-commerce,350,524,0.2862595419847328,0
Moreau Matériaux - Châlus - E-commerce,342,719,0.2670375521557719,0
Stoker - Ménétreux-le-Pitois - E-commerce,277,357,0.38375350140056025,0
MCF - Lapalisse - E-commerce,276,476,0.2542016806722689,1
Maury - Saint-Médard-dExcideuil - E-commerce,258,373,0.34316353887399464,0
MCF - Dompierre-sur-Besbre - E-commerce,244,415,0.15903614457831325,0
MCF - Varennes-sur-Allier - E-commerce,241,372,0.23387096774193547,1
Legrand - Mondoubleau - E-commerce,237,300,0.43333333333333335,0
Maisonnier - LIsle-Jourdain - E-commerce,237,318,0.4088050314465409,0
Vilvert - Sainte-Foy-lArgentière - E-commerce,218,259,0.4864864864864865,0
Vibraye Matériaux - Vibraye - E-commerce,188,235,0.3446808510638298,0
Bouchard - Lombez - E-commerce,162,227,0.2643171806167401,0
MCF - Cosne-dAllier - E-commerce,145,195,0.26153846153846155,0
Provibat - Charlieu - E-commerce,115,158,0.3987341772151899,0
Boromat - Saint-Clément-de-Valorgue - E-commerce,110,176,0.23863636363636365,0
Laboisssière - Blois - E-commerce,99,110,0.07272727272727272,0
Moreau Matériaux - Chalus - E-commerce,89,158,0.18354430379746836,1
Stoker - Pouilly-en-Auxois - E-commerce,73,112,0.16071428571428573,0
Matériaux de Maintenon - Maintenon - E-commerce,58,71,0.43661971830985913,0
Terral - Lacaune - E-commerce,56,66,0.4090909090909091,0
Labenne Rougier - Villenave-d&#039;Ornon - E-commerce,42,43,0.0,45
Brochard - Belleville-sur-Loire - E-commerce,37,64,0.296875,0
Favre d&#039;Anne - Faverges - E-commerce,27,29,0.0,31
Favre d&#039;Anne - Thônes - E-commerce,24,25,0.0,25
Favre d&#039;Anne - Détrier - E-commerce,18,18,0.0,18
MCF (New) - Yzeure - E-commerce,18,42,0.047619047619047616,0
Favre d&#039;Anne - Frontenex - E-commerce,15,15,0.0,16
Bruant (New) - Rue (New) - E-commerce,14,72,0.09722222222222222,5
Bonnefoy Pascal - Costaros - E-commerce,12,21,0.38095238095238093,0
Balagne Matériaux - L&#039;Île-Rousse - E-commerce,9,9,0.0,10
Bonnefoy Pascal - Saint-André-Capcèze - E-commerce,9,20,0.55,0
Bonnefoy Pascal - Coucouron - E-commerce,8,10,0.2,0
Jacq - Pont-l&#039;Abbé - E-commerce,8,8,0.0,8
Bonnefoy Pascal - Langogne - E-commerce,7,15,0.2,0
Bruant (New) - Rue - E-commerce,7,34,0.08823529411764706,5
Datas (New) - Seissan - E-commerce,6,15,0.0,0
MCF (New) - Bourbon-Lancy - E-commerce,6,15,0.0,1
MCF (New) - Lapalisse - E-commerce,6,7,0.2857142857142857,0
Bonnefoy Pascal - Grandrieu - E-commerce,5,9,0.4444444444444444,0
Favre d&#039;Anne - Flumet - E-commerce,5,5,0.0,5
Henrio (New) - Mellac - E-commerce,5,5,0.0,0
Sundgau Matériaux (New) - Bréchaumont - E-commerce,5,8,0.125,0
Broulard Matériaux (New) - Sourzac - E-commerce,4,5,0.2,0
MCF (New) - Dompierre-sur-Besbre - E-commerce,4,4,0.0,0
Boromat (New) - Ambert - E-commerce,3,6,0.0,0
Delmonico Dorel (New) - Saint-Vallier (New) - E-commerce,3,4,0.0,0
François Matériaux - Saint-Chély-d&#039;Apcher - E-commerce,3,3,0.0,3
MCF (New) - Cosne-dAllier - E-commerce,3,4,0.0,0
MCF (New) - Domérat - E-commerce,3,6,0.0,0
Moreau Matériaux (New) - Chalus - E-commerce,3,3,0.0,0
Bonnefoy Pascal (New) - Costaros - E-commerce,2,2,0.0,0
Bouchard (New) - Lombez - E-commerce,2,4,0.0,0
Delmonico Dorel (New) - Montélimar (New) - E-commerce,2,2,0.0,0
Lauzin - Valence d&#039;Agen - E-commerce,2,2,0.0,3
MCF (New) - Varennes-sur-Allier - E-commerce,2,2,0.0,0
Mathieu (New) - Audun-le-Roman - E-commerce,2,3,0.0,0
Matériaux de Maintenon (New) - Maintenon - E-commerce,2,2,0.0,0
Moreau Matériaux (New) - Saint-Maurice-les-Brousses - E-commerce,2,2,0.0,0
Provibat (New) - Charlieu - E-commerce,2,2,0.0,0
Weiss (New) - Wasselonne - E-commerce,2,2,0.0,0
Bonnefoy Pascal (New) - Coucouron - E-commerce,1,1,0.0,0
Bonnefoy Pascal (New) - Grandrieu - E-commerce,1,1,0.0,0
Boromat (New) - Saint-Clément-de-Valorgue - E-commerce,1,3,0.0,0
Brochard (New) - Belleville-sur-Loire - E-commerce,1,1,0.0,0
Brochard (New) - Cosne-Cours-sur-Loire - E-commerce,1,1,0.0,0
Brochard (New) - Vierzon - E-commerce,1,1,0.0,0
CERAMIC STORE - Clermont-Ferrand - E-commerce,1,1,0.0,0
Conil (New) - Peyruis - E-commerce,1,1,0.0,0
DELMONICO DOREL NEGOCE (New) - MONTELIMAR - E-commerce,1,1,1.0,0
DELMONICO DOREL NEGOCE (New) - Montélimar (New) - E-commerce,1,1,0.0,0
DELMONICO DOREL NEGOCE (New) - Saint-Vallier (New) - E-commerce,1,4,0.25,0
E-commerce catalogues - Levallois-Perret,1,1,0.0,0
FAURE (New) - VILLEURBANNE - E-commerce,1,1,0.0,0
Farel Clavel - L&#039;Isle-sur-la-Sorgue - E-commerce,1,1,0.0,1
Henrio (New) - Plouay - E-commerce,1,1,0.0,0
Henrio PPI (New) - Lanester - E-commerce,1,1,0.0,0
JT Matériaux (New) - Marault - E-commerce,1,2,0.0,0
Lauzin (New) - Valence dAgen - E-commerce,1,1,0.0,0
Legrand (New) - Mondoubleau - E-commerce,1,1,0.0,0
MCF (New) - Domerat - E-commerce,1,1,0.0,0
Maisonnier (New) - Bouresse - E-commerce,1,1,0.0,0
Maisonnier (New) - LIsle-Jourdain - E-commerce,1,1,0.0,0
Maury (New) - Saint-Médard-dExcideuil - E-commerce,1,1,0.0,0
Provibat (New) - Riorges - E-commerce,1,1,0.0,0
Sahores (New) - Orthez - E-commerce,1,2,0.0,0
Socramat (New) - Craon - E-commerce,1,2,0.0,0
Sonovam (New) - Peypin - E-commerce,1,1,0.0,0
Stoker (New) - Dijon - E-commerce,1,1,0.0,0
Stoker (New) - Ménétreux-le-Pitois - E-commerce,1,1,0.0,0
Stoker (New) - Pouilly-en-Auxois - E-commerce,1,1,0.0,0
Suhas Matériaux (New) - Peyrehorade - E-commerce,1,4,0.0,0
Terral (New) - Lacaune - E-commerce,1,1,0.0,0
Trullen (New) - Dun-le-Palestel - E-commerce,1,3,0.0,0
Vibraye Matériaux (New) - Vibraye - E-commerce,1,1,0.0,0
Vilvert (New) - Montbrison - E-commerce,1,1,0.0,0
Vilvert (New) - Montrond-les-bains - E-commerce,1,1,0.0,0
Vilvert (New) - Sainte-Foy-lArgentière - E-commerce,1,1,0.0,0
Weiss (New) - Wasselonne (Test) - E-commerce,1,6,0.3333333333333333,4
